u,v,key,access,bicycle,busway,cycleway,foot,highway,lanes,lit,maxspeed,motor_vehicle,name,oneway,ref,service,sidewalk,smoothness,surface,tunnel,width,osmid,timestamp,version,tags,osm_type,geometry,length
95663501,95663502,0,,,,,,tertiary,1,,,,Μάγερ,yes,,,,,asphalt,,,222897512,1564709453,7,"{""visible"":false,""int_name"":""Mager""}",way,"LINESTRING (23.72544097900391 37.98721313476563, 23.72506332397461 37.98665618896484)",70.219
95663501,2425856882,0,,,,,designated,service,,,,delivery,Μαιζώνος,,,,,,,,,972616291,1655928670,2,"{""visible"":false,""int_name"":""Maizonos""}",way,"LINESTRING (23.72570610046387 37.98716354370117, 23.72544097900391 37.98721313476563)",23.88
250700344,250691664,0,,,,,,primary,3,yes,,,Σταδίου,yes,ΕΟ1,,separate,,asphalt,,,207971475,1668116444,29,"{""visible"":false,""int_name"":""Stadiou"",""trolley_wire"":""yes""}",way,"LINESTRING (23.72938919067383 37.98261260986328, 23.72990798950195 37.98200988769531, 23.73000717163086 37.98188781738281, 23.73012351989746 37.98175430297852, 23.73016357421875 37.98170852661133, 23.73018074035645 37.981689453125, 23.73020553588867 37.98166275024414)",127.58099999999999
250700344,250700248,0,,,,,,residential,1,,,,Εμμανουήλ Μπενάκη,yes,,,both,,asphalt,,4,636473899,1714809320,12,"{""visible"":false,""int_name"":""Emmanouil Benaki""}",way,"LINESTRING (23.72938919067383 37.98261260986328, 23.72946166992188 37.9826545715332, 23.72998428344727 37.98295974731445, 23.73013496398926 37.9830322265625, 23.73027610778809 37.98311233520508, 23.73031616210938 37.98313140869141, 23.73048973083496 37.98322677612305)",118.245
250691724,250698924,0,,,,,,primary,5,yes,50,,Πανεπιστημίου,yes,,,separate,excellent,asphalt,,,207979569,1712341213,23,"{""visible"":false,""busway:left"":""opposite_lane"",""int_name"":""Panepistimiou"",""official_name"":""\u0395\u03BB\u03B5\u03C5\u03B8\u03B5\u03C1\u03AF\u03BF\u03C5 \u0392\u03B5\u03BD\u03B9\u03B6\u03AD\u03BB\u03BF\u03C5"",""official_name:en"":""Eleftheriou Venizelou"",""old_ref"":""\u0395\u039F1"",""oneway:bus"":""no"",""trolley_wire"":""yes""}",way,"LINESTRING (23.7343692779541 37.97868728637695, 23.73396301269531 37.97916793823242, 23.73381996154785 37.97933578491211)",86.70599999999999
250691724,250691669,0,,,,,,residential,,"[None, 'yes']",,,Ομήρου,yes,,,"[None, 'both']",,asphalt,,5,"[295081898, 299510530]","[1716303707, 1715958127]","[10, 11]","{""visible"":false,""int_name"":""Omirou"",""lane_markings"":""no""}",way,"LINESTRING (23.7343692779541 37.97868728637695, 23.73428344726563 37.97864532470703, 23.73423767089844 37.97861480712891, 23.73369216918945 37.97832489013672, 23.73335838317871 37.97814559936523, 23.73332595825195 37.97812652587891, 23.73322486877441 37.97808074951172)",120.939
962356785,962356657,0,,,,,,primary,2,yes,,,Καποδιστρίου,yes,,,,,asphalt,,,210103168,1625326586,12,"{""visible"":false,""int_name"":""Kapodistriou""}",way,"LINESTRING (23.7268009185791 37.9871711730957, 23.72675514221191 37.98721694946289)",6.481
962356785,962356738,0,,,,,,primary,2,yes,,,Μάρνη,yes,,,,,asphalt,,,261671454,1625326586,15,"{""visible"":false,""int_name"":""Marni""}",way,"LINESTRING (23.7268009185791 37.9871711730957, 23.72689056396484 37.98722457885742, 23.72701072692871 37.98729705810547)",23.109
2313405251,2313405235,0,,,,,,service,,,,,,,,alley,,,asphalt,,,222367225,1716145000,3,"{""visible"":false}",way,"LINESTRING (23.73658561706543 37.97937774658203, 23.73662757873535 37.97932434082031, 23.73681640625 37.97909927368164)",36.989000000000004
5370319353,95663499,0,,,,,,tertiary,1,,,,Μάγερ,yes,,,,,asphalt,,,222897512,1564709453,7,"{""visible"":false,""int_name"":""Mager""}",way,"LINESTRING (23.7258358001709 37.98778533935547, 23.72572135925293 37.98761367797852)",21.562
