osmid,visible,changeset,tags,x,version,timestamp,y,osmid,geometry
954712407,False,0,,23.73609733581543,5,1586418255,37.97616958618164,954712407,POINT (23.73609733581543 37.97616958618164)
95663376,False,0,,23.72592544555664,14,1656570006,37.985958099365234,95663376,POINT (23.72592544555664 37.98595809936523)
95663377,False,0,,23.725784301757812,16,1653488603,37.98539733886719,95663377,POINT (23.72578430175781 37.98539733886719)
11256819883,False,0,,23.725666046142578,1,1697094501,37.98493957519531,11256819883,POINT (23.72566604614258 37.98493957519531)
250720872,False,0,,23.725561141967773,16,1608547235,37.984535217285156,250720872,POINT (23.72556114196777 37.98453521728516)
95663375,False,0,,23.724924087524414,14,1645130377,37.986114501953125,95663375,POINT (23.72492408752441 37.98611450195313)
95663504,False,0,,23.724773406982422,12,1616077747,37.98613357543945,95663504,POINT (23.72477340698242 37.98613357543945)
95663374,False,0,,23.723325729370117,10,1616077747,37.98635482788086,95663374,POINT (23.72332572937012 37.98635482788086)
633562900,False,0,,23.722984313964844,9,1616077747,37.98640823364258,633562900,POINT (23.72298431396484 37.98640823364258)
31179468,False,0,,23.72412109375,13,1582269718,37.98564529418945,31179468,POINT (23.72412109375 37.98564529418945)
95663389,False,0,,23.725051879882812,8,1653488603,37.985504150390625,95663389,POINT (23.72505187988281 37.98550415039063)
95663386,False,0,,23.727048873901367,10,1653488603,37.98521041870117,95663386,POINT (23.72704887390137 37.98521041870117)
95663423,False,0,,23.728233337402344,5,1372963588,37.98503494262695,95663423,POINT (23.72823333740234 37.98503494262695)
31179466,False,0,,23.726682662963867,17,1597739194,37.9871711730957,31179466,POINT (23.72668266296387 37.9871711730957)
962356923,False,0,,23.72673225402832,4,1597739194,37.98712921142578,962356923,POINT (23.72673225402832 37.98712921142578)
97788213,False,0,,23.730470657348633,38,1578768089,37.98865509033203,97788213,POINT (23.73047065734863 37.98865509033203)
95663402,False,0,,23.72949981689453,13,1608707094,37.988800048828125,95663402,POINT (23.72949981689453 37.98880004882813)
516020524,False,0,,23.729991912841797,13,1640448498,37.9864616394043,516020524,POINT (23.7299919128418 37.9864616394043)
962356679,False,0,,23.72864532470703,4,1578767947,37.98667526245117,962356679,POINT (23.72864532470703 37.98667526245117)
95663463,False,0,,23.72771453857422,15,1645130377,37.9879264831543,95663463,POINT (23.72771453857422 37.9879264831543)
95663472,False,0,,23.72667694091797,5,1479327002,37.98808288574219,95663472,POINT (23.72667694091797 37.98808288574219)
95663490,False,0,,23.725069046020508,9,1607586590,37.98881912231445,95663490,POINT (23.72506904602051 37.98881912231445)
97834829,False,0,,23.725139617919922,9,1571031088,37.988739013671875,97834829,POINT (23.72513961791992 37.98873901367188)
97834834,False,0,,23.725732803344727,12,1616702981,37.98804473876953,97834834,POINT (23.72573280334473 37.98804473876953)
95663474,False,0,,23.725894927978516,8,1479327002,37.98788833618164,95663474,POINT (23.72589492797852 37.98788833618164)
3879024939,False,0,,23.72724723815918,6,1562418012,37.987464904785156,3879024939,POINT (23.72724723815918 37.98746490478516)
95663433,False,0,,23.727588653564453,13,1608707094,37.98741149902344,95663433,POINT (23.72758865356445 37.98741149902344)
95663454,False,0,,23.728782653808594,11,1608707094,37.98722457885742,95663454,POINT (23.72878265380859 37.98722457885742)
97788192,False,0,,23.730119705200195,51,1640448498,37.98701858520508,97788192,POINT (23.7301197052002 37.98701858520508)
6356544246,False,0,,23.73102378845215,2,1608707094,37.98687744140625,6356544246,POINT (23.73102378845215 37.98687744140625)
95663527,False,0,,23.726131439208984,10,1645130377,37.986820220947266,95663527,POINT (23.72613143920898 37.98682022094727)
95663492,False,0,,23.726062774658203,9,1565216697,37.986515045166016,95663492,POINT (23.7260627746582 37.98651504516602)
635132991,False,0,,23.72640037536621,4,1571117813,37.98862838745117,635132991,POINT (23.72640037536621 37.98862838745117)
97834761,False,0,,23.726451873779297,11,1597739194,37.98703384399414,97834761,POINT (23.7264518737793 37.98703384399414)
2425856882,False,0,,23.725706100463867,3,1564709453,37.98716354370117,2425856882,POINT (23.72570610046387 37.98716354370117)
95663631,False,0,,23.729354858398438,5,1578768089,37.989501953125,95663631,POINT (23.72935485839844 37.989501953125)
95663529,False,0,,23.7281494140625,13,1645130377,37.989688873291016,95663529,POINT (23.7281494140625 37.98968887329102)
97788219,False,0,,23.733633041381836,11,1687757351,37.9894905090332,97788219,POINT (23.73363304138184 37.9894905090332)
97788477,False,0,,23.731128692626953,40,1562418978,37.991310119628906,97788477,POINT (23.73112869262695 37.99131011962891)
97788471,False,0,,23.72983741760254,19,1669032922,37.99151611328125,97788471,POINT (23.72983741760254 37.99151611328125)
358465939,False,0,,23.72905731201172,8,1669032922,37.99163818359375,358465939,POINT (23.72905731201172 37.99163818359375)
97788686,False,0,,23.731748580932617,9,1541339849,37.986175537109375,97788686,POINT (23.73174858093262 37.98617553710938)
97788594,False,0,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}",23.73088836669922,10,1546284680,37.986324310302734,97788594,POINT (23.73088836669922 37.98632431030273)
3731648988,False,0,,23.730764389038086,3,1616682985,37.985809326171875,3731648988,POINT (23.73076438903809 37.98580932617188)
97788848,False,0,,23.73472023010254,12,1687757351,37.989322662353516,97788848,POINT (23.73472023010254 37.98932266235352)
97797086,False,0,,23.734949111938477,13,1687757351,37.99019241333008,97797086,POINT (23.73494911193848 37.99019241333008)
358464018,False,0,,23.735170364379883,34,1562418978,37.99108123779297,358464018,POINT (23.73517036437988 37.99108123779297)
